City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Mana,GF,5.6592,-53.7767,77.95,87,41,9.91,light rain
290,Tibana,RO,46.9833,27.3333,47.98,59,0,2.64,clear sky
291,Lasa,IT,46.6166,10.7002,39.02,62,1,1.45,clear sky
292,Sibiti,CG,-3.6819,13.3499,69.91,97,91,3.09,overcast clouds
293,Dwarka,IN,22.2394,68.9678,74.91,76,3,9.28,clear sky
294,High Rock,BS,26.6208,-78.2833,78.82,62,0,15.39,clear sky
295,Port Hardy,CA,50.6996,-127.4199,50.18,87,100,11.5,light intensity shower rain
296,Marawi,PH,7.9986,124.2928,67.71,95,100,1.23,overcast clouds
297,Pisco,PE,-13.7,-76.2167,75.02,68,0,25.32,clear sky
298,Barra Da Estiva,BR,-13.6261,-41.3269,72.27,62,11,6.4,few clouds
299,Sao Filipe,CV,14.8961,-24.4956,70.59,73,8,14.07,clear sky
300,Lutz,US,28.1511,-82.4615,89.02,40,0,10.36,clear sky
301,Harper,LR,4.375,-7.7169,80.06,83,100,7.85,overcast clouds
302,Faanui,PF,-16.4833,-151.75,80.67,75,99,13.71,overcast clouds
303,Norman Wells,CA,65.282,-126.8329,3.24,60,100,12.66,overcast clouds
304,Maldonado,UY,-34.6667,-54.9167,72.23,72,100,9.48,overcast clouds
305,Guerrero Negro,MX,27.9769,-114.0611,72.86,42,5,15.03,clear sky
306,Te Anau,NZ,-45.4167,167.7167,60.85,73,6,1.34,clear sky
307,Shirpur,IN,21.35,74.8833,84.94,16,6,9.8,clear sky
308,Kodinsk,RU,58.6881,99.1844,8.4,99,100,3.6,overcast clouds
309,Puerto Rico,AR,-26.796,-55.024,85.12,50,94,5.93,overcast clouds
310,Rudnaya Pristan,RU,44.3614,135.8116,29.19,69,100,5.86,overcast clouds
311,Mount Vernon,US,40.9126,-73.8371,58.89,19,75,20.71,broken clouds
312,Severo-Kurilsk,RU,50.6789,156.125,25.72,72,100,7.7,overcast clouds
313,Robore,BO,-18.3333,-59.75,93.29,52,20,13.8,few clouds
314,Amlame,TG,7.4667,0.9,79.57,77,97,5.77,light rain
315,Adrar,MR,20.5022,-10.0711,79.88,9,0,10.0,clear sky
316,Skjervoy,NO,70.0311,20.9714,32.0,96,100,12.91,light snow
317,Lipari,IT,38.4674,14.954,48.99,47,0,5.91,clear sky
318,Launceston,AU,-41.45,147.1667,53.35,87,73,9.22,broken clouds
319,Adet,ET,11.2644,37.4888,69.1,30,95,7.27,overcast clouds
320,Saquena,PE,-4.6667,-73.5167,82.11,84,60,2.73,broken clouds
321,Matara,LK,5.9485,80.5353,76.91,89,60,7.36,broken clouds
322,Xingyi,CN,24.1877,102.817,59.27,90,100,2.8,overcast clouds
323,Bubaque,GW,11.2833,-15.8333,76.35,76,54,20.2,broken clouds
324,Hillsboro,US,45.5229,-122.9898,67.1,79,75,3.44,broken clouds
325,Fairbanks,US,64.8378,-147.7164,13.48,65,100,6.91,mist
326,Abu Samrah,SY,35.3029,37.1841,43.57,68,69,5.3,broken clouds
327,Ixtapa,MX,20.7,-105.2,76.23,61,40,17.27,scattered clouds
328,Marrakesh,MA,31.6315,-8.0083,62.67,63,40,9.22,scattered clouds
329,Tabou,CI,4.423,-7.3528,80.4,83,100,7.76,overcast clouds
330,Turbat,PK,26.0023,63.044,74.07,43,0,4.61,clear sky
331,Comodoro Rivadavia,AR,-45.8667,-67.5,66.06,30,0,20.71,clear sky
332,Margate,GB,51.3813,1.3862,53.31,71,96,1.99,overcast clouds
333,Fryanovo,RU,56.1333,38.45,30.52,96,0,4.72,clear sky
334,Qasigiannguit,GL,68.8193,-51.1922,3.45,96,100,6.4,light snow
335,Egvekinot,RU,66.3167,-179.1667,11.57,96,97,1.86,overcast clouds
336,Makariv,UA,50.4641,29.8113,42.55,64,0,4.21,clear sky
337,Jiazi,CN,22.8779,116.067,63.03,88,100,17.56,overcast clouds
338,Narok,KE,-1.0783,35.8601,61.07,60,43,6.22,scattered clouds
339,Middelburg,ZA,-25.7751,29.4648,59.85,64,16,6.67,few clouds
340,Aden,YE,12.7794,45.0367,78.57,82,98,14.81,overcast clouds
341,Parnarama,BR,-5.6817,-43.0933,76.95,92,100,1.19,overcast clouds
342,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,60,100,21.85,overcast clouds
343,Virginia Beach,US,36.8529,-75.978,74.05,51,75,11.5,broken clouds
344,Stolin,BY,51.8912,26.846,44.19,67,0,2.95,clear sky
345,Byron Bay,AU,-28.65,153.6167,65.95,84,15,6.26,few clouds
346,Ulaanbaatar,MN,47.9077,106.8832,-0.27,71,0,2.24,clear sky
347,Sinnamary,GF,5.3833,-52.95,77.72,89,54,11.07,light rain
348,Dunedin,NZ,-45.8742,170.5036,61.81,99,6,3.0,clear sky
349,Labuhan,ID,-6.8844,112.2051,79.99,85,100,4.32,overcast clouds
350,Henties Bay,NA,-22.116,14.2845,66.81,88,44,4.25,light rain
351,Abu Kamal,SY,34.4506,40.9171,47.79,71,13,3.6,few clouds
352,Puga,MX,21.5833,-104.8167,87.87,21,0,11.5,clear sky
353,Salinopolis,BR,-0.6136,-47.3561,77.77,88,100,3.29,overcast clouds
354,Itacarambi,BR,-15.1022,-44.0919,78.62,57,17,6.67,few clouds
355,Arkhangelsk,RU,64.5401,40.5433,32.11,69,20,8.95,few clouds
356,Nelson Bay,AU,-32.7167,152.15,69.85,90,83,4.29,broken clouds
357,Kununurra,AU,-15.7667,128.7333,80.58,94,88,6.91,overcast clouds
358,Morondava,MG,-20.2833,44.2833,80.1,75,80,5.37,broken clouds
359,Vikhorevka,RU,56.1201,101.1636,20.79,99,100,2.13,overcast clouds
360,Amli,IN,20.2833,73.0167,79.38,28,4,4.63,clear sky
361,Sisimiut,GL,66.9395,-53.6735,2.66,95,100,4.9,overcast clouds
362,Plettenberg Bay,ZA,-34.0527,23.3716,67.93,93,38,3.74,scattered clouds
363,Vestmannaeyjar,IS,63.4427,-20.2734,45.93,91,100,7.9,overcast clouds
364,Lyubim,RU,58.3625,40.6843,30.42,97,7,4.5,clear sky
365,Kutum,SD,14.2,24.6667,73.85,11,68,10.63,broken clouds
366,Washington,US,47.5001,-120.5015,54.48,62,100,3.2,overcast clouds
367,Carndonagh,IE,55.25,-7.2667,55.02,91,33,6.98,scattered clouds
368,Ahuimanu,US,21.4447,-157.8378,78.51,73,75,12.66,broken clouds
369,Domoni,KM,-12.2569,44.5319,80.38,83,43,5.66,scattered clouds
370,Ponta Do Sol,PT,32.6667,-17.1,63.05,67,50,9.89,scattered clouds
371,Haines Junction,CA,60.7522,-137.5108,17.55,86,100,6.91,overcast clouds
372,Manicore,BR,-5.8092,-61.3003,81.16,88,55,2.89,broken clouds
373,Wenling,CN,28.3669,121.36,47.28,87,100,11.23,overcast clouds
374,Faya,SA,18.3851,42.4509,59.11,55,0,3.02,clear sky
375,Nuuk,GL,64.1835,-51.7216,12.81,92,20,17.27,few clouds
376,Kirakira,SB,-10.4544,161.9205,81.81,78,93,4.32,overcast clouds
377,Port Moresby,PG,-9.4431,147.1797,77.13,85,100,3.98,overcast clouds
378,Bereda,ES,43.2686,-7.5406,47.14,92,100,1.74,overcast clouds
379,Airai,TL,-8.9266,125.4092,59.5,91,100,1.43,overcast clouds
380,Ponta Delgada,PT,37.7333,-25.6667,60.49,72,20,6.91,few clouds
381,Chapais,CA,49.7834,-74.8492,22.78,79,100,11.48,overcast clouds
382,Yar-Sale,RU,66.8333,70.8333,14.72,95,100,11.86,overcast clouds
383,Hecun,CN,36.5333,114.1111,43.11,73,23,5.17,few clouds
384,Tezu,IN,27.9167,96.1667,76.91,33,87,3.94,overcast clouds
385,Sayyan,YE,15.1718,44.3244,63.91,46,55,1.5,broken clouds
386,Tautira,PF,-17.7333,-149.15,80.15,76,56,11.56,broken clouds
387,Egyek,HU,47.6333,20.9,47.84,49,1,7.83,clear sky
388,Bandarbeyla,SO,9.4942,50.8122,76.73,79,55,2.71,broken clouds
389,Gorom-Gorom,BF,14.4439,-0.2361,87.71,8,2,11.41,clear sky
390,Stykkisholmur,IS,65.0757,-22.7297,31.06,92,100,14.27,light snow
391,Erzin,TR,36.9559,36.2,42.69,83,66,5.7,broken clouds
392,Olinda,BR,-8.0089,-34.8553,76.73,100,75,6.91,moderate rain
393,Dillon,US,34.4166,-79.3712,76.14,43,100,7.96,overcast clouds
394,Grindavik,IS,63.8424,-22.4338,43.27,100,100,8.05,overcast clouds
395,Jalu,LY,29.0331,21.5482,51.64,50,47,15.01,scattered clouds
396,Mayskiy,RU,47.6931,40.1025,24.21,60,0,6.69,clear sky
397,Chagoda,RU,59.164,35.3285,29.19,95,7,5.3,clear sky
398,Pacific Grove,US,36.6177,-121.9166,83.88,56,0,7.0,clear sky
